condition,n_traces,steer_category,steer_direction,alpha,signed_alpha,alpha_mean,alpha_sd,signed_alpha_mean,signed_alpha_sd,n_sentences_mean,n_sentences_sd,completed_mean,completed_sd,truncated_mean,truncated_sd,thinking_text_len_mean,thinking_text_len_sd,transition_entropy_mean,transition_entropy_sd,judge_n_mean,judge_n_sd,judge_accept_rate_mean,judge_accept_rate_sd,judge_reject_rate_mean,judge_reject_rate_sd,judge_uncertain_rate_mean,judge_uncertain_rate_sd,prop_ORIENT_mean,prop_ORIENT_sd,prop_DESCRIBE_mean,prop_DESCRIBE_sd,prop_SYNTHESIZE_mean,prop_SYNTHESIZE_sd,prop_HYPO_mean,prop_HYPO_sd,prop_TEST_mean,prop_TEST_sd,prop_JUDGE_mean,prop_JUDGE_sd,prop_PLAN_mean,prop_PLAN_sd,prop_MONITOR_mean,prop_MONITOR_sd,prop_RULE_mean,prop_RULE_sd,count_ORIENT_mean,count_ORIENT_sd,count_DESCRIBE_mean,count_DESCRIBE_sd,count_SYNTHESIZE_mean,count_SYNTHESIZE_sd,count_HYPO_mean,count_HYPO_sd,count_TEST_mean,count_TEST_sd,count_JUDGE_mean,count_JUDGE_sd,count_PLAN_mean,count_PLAN_sd,count_MONITOR_mean,count_MONITOR_sd,count_RULE_mean,count_RULE_sd
MONITOR_neg_0.5,40,MONITOR,neg,0.5,-0.5,0.5,0.0,-0.5,0.0,232.525,89.92304045753905,0.375,0.4902903378454601,0.625,0.4902903378454601,12090.1,3985.541676018713,3.1460313762060417,0.43496247743032973,25.875,15.665064020591513,0.09672493066806911,0.1541061234583146,0.6104099849641734,0.19719948193079906,0.2928650843677573,0.17376581701299446,0.013736925218063084,0.011788469780868715,0.10365575970344638,0.09486462313606142,0.0125023208201283,0.021378377226775463,0.15386683781616858,0.059270117445905546,0.5449256077126318,0.11636295727506217,0.10398057354461474,0.03835654675623966,0.04116652834701677,0.024086905759016963,0.020829221534417457,0.016095836485263547,0.005336225303512845,0.0087237059692626,2.375,0.9523923991986087,18.325,12.574674385344373,2.175,3.2885777457350143,37.45,21.68060695526576,132.35,62.565473398180735,25.875,15.665064020591513,8.4,4.024285252671808,4.925,4.422480450305386,0.65,0.8638019716079873
MONITOR_neg_1.0,40,MONITOR,neg,1.0,-1.0,1.0,0.0,-1.0,0.0,151.8,124.20334856545453,0.75,0.4385290096535146,0.275,0.45220258677630265,7847.7,5428.61275285987,3.1431720291009713,0.46844907411136805,17.6,18.552489638721585,0.08339094112594166,0.15657352933036706,0.6582622865575927,0.3561202603613121,0.2583467723164656,0.3359895552523201,0.027304849717729257,0.03300078619972596,0.09736880988655293,0.14205495823367095,0.03479172524487624,0.06817862453983602,0.1727585293447776,0.09012180029424542,0.4599929427807442,0.15986213600109594,0.09389069371701327,0.05718814059927722,0.07091567001370815,0.053510489641921344,0.021841207429281383,0.030314221208809194,0.021135571865316893,0.02409988090735415,1.7,0.966091783079296,9.5,12.114835152375404,1.35,1.6878145480822084,26.925,23.778235577508422,82.875,77.98526734631947,17.6,18.552489638721585,7.15,6.4352793655614144,3.5,5.528481035881607,1.2,1.2444749691006038
MONITOR_pos_0.5,40,MONITOR,pos,0.5,0.5,0.5,0.0,0.5,0.0,205.95,78.40458843192461,0.475,0.505736325340815,0.525,0.505736325340815,12731.45,3763.0140943609254,3.3378535588176037,0.41184441168039887,14.425,9.328444232286099,0.05183525261956634,0.0985302963972586,0.7796478108139615,0.22587189696221696,0.16851693656647215,0.22854708850736166,0.012470267608894064,0.009349208891394028,0.11339184521512238,0.10538471063503045,0.013805732794486306,0.018899047526129024,0.14957107300438105,0.054835820131974085,0.5267708226755377,0.11153571007203521,0.06550002237408237,0.029900316029808936,0.05128378214557561,0.020654595079314855,0.05988705333380153,0.03893026077921757,0.007319400848119079,0.009571283734527043,2.1,0.9281909617845142,19.675,15.4378613837074,2.25,2.959123224269354,31.55,17.682310441910655,112.05,52.28518935263623,14.425,9.328444232286099,9.95,4.749898784346721,13.0,11.69045194450012,0.95,1.1311441904050867
MONITOR_pos_1.0,40,MONITOR,pos,1.0,1.0,1.0,0.0,1.0,0.0,208.225,75.99915232320788,0.35,0.48304589153964794,0.65,0.48304589153964794,13544.05,4042.143382617819,3.5286224846398397,0.36843586636923076,19.75,12.429802894656053,0.06261655941532629,0.13582099016413302,0.8170028402083271,0.1966376112783689,0.12038060037634662,0.14801193790749095,0.016128491727865908,0.013358552768043359,0.10215535983447584,0.10663428276601027,0.01535845024428871,0.02979354309527742,0.17508608196626413,0.07829528277407564,0.4702484236710903,0.1227830720892939,0.09014184868975991,0.05261772058282916,0.05771378961655351,0.030320529750168322,0.06454077849584855,0.06740716386007657,0.008626775753853056,0.014120770900038071,2.575,0.8439072740411041,16.625,12.396623816639837,2.1,3.6360023130510823,36.875,18.76328589122645,104.075,53.17093263168398,19.75,12.429802894656053,10.575,4.640333210847289,14.525,14.761327679846243,1.125,2.027850952900505
PLAN_neg_0.5,40,PLAN,neg,0.5,-0.5,0.5,0.0,-0.5,0.0,208.85,100.13236112061746,0.45,0.503831473655779,0.55,0.5038314736557788,11755.525,4346.155813858189,3.2227776908532038,0.39612776874048294,19.2,13.98937325624576,0.13512037889925405,0.21143530554862375,0.6207033388258554,0.20188153560170694,0.2441762822748906,0.14069029519386408,0.015501673532075055,0.010663728249361352,0.12045396668536042,0.12893804816828863,0.010881560712198174,0.015188993690136317,0.14078356911463946,0.05367882655188164,0.5279438428305138,0.1283295027772957,0.08439145304051283,0.03530331542019765,0.051914801047189464,0.03175181856861059,0.04117883994883674,0.023251148633827514,0.006950293088674111,0.009435284453789113,2.525,0.9604352645732545,19.4,17.62981158181381,1.35,1.4944341180973264,30.925,19.525640604744343,115.475,64.81294089680168,19.2,13.98937325624576,10.025,7.014591020115654,9.175,7.207145670648591,0.775,1.025007817356056
PLAN_neg_1.0,40,PLAN,neg,1.0,-1.0,1.0,0.0,-1.0,0.0,231.375,89.82595350496939,0.4,0.49613893835683387,0.6,0.49613893835683387,12716.475,4096.890571925656,3.3587682256461933,0.3428086589286535,26.375,16.482605438803724,0.09365103035503979,0.17077723758505825,0.6839677093765053,0.2276265519941767,0.2223812602684549,0.12291511533281722,0.014245822773843685,0.011376739077730907,0.05805133924599237,0.04689437420205615,0.007226326118419149,0.011100973169913299,0.18103164049881182,0.04988346464110398,0.5326823658439015,0.07104277852375883,0.10597412637577626,0.04054668262133938,0.036665147479101656,0.02138535085386549,0.05397785850000606,0.03706777157443019,0.010145373164147604,0.01823067977818543,2.55,1.0848608560193684,13.35,12.246506566238516,1.55,2.297713467664578,41.925,19.38594190617891,124.025,53.03094766507959,26.375,16.482605438803724,7.45,3.822671907556351,12.775,9.99355561580331,1.375,2.3932329812544584
PLAN_pos_0.5,40,PLAN,pos,0.5,0.5,0.5,0.0,0.5,0.0,212.775,80.58010427598245,0.35,0.48304589153964794,0.65,0.48304589153964794,12498.425,3958.979426164636,3.239300247933349,0.39337750079581096,19.65,10.090742139361055,0.06992128876027452,0.12638584794468785,0.6193135345880447,0.20644287967794908,0.3107651766516808,0.1906138029010042,0.013082939423692472,0.009811216032096316,0.12297943984490253,0.11458176512542442,0.020552917709381884,0.03709494206829875,0.1387043559193642,0.05303668994496266,0.5230137385527845,0.13532061346957988,0.08719316117139433,0.02968315260456879,0.06247709903810418,0.055866505940938144,0.02582990233013909,0.01845721309290502,0.006166446010236871,0.011644900260818351,2.25,1.0561177090573832,20.825,16.867336816523565,2.95,4.193707129399893,30.525,15.556328582745962,118.575,59.43446617267433,19.65,10.090742139361055,11.4,10.12688728849325,5.8,4.946897499624877,0.8,1.6976605320414566
PLAN_pos_1.0,40,PLAN,pos,1.0,1.0,1.0,0.0,1.0,0.0,217.875,64.29586560062266,0.225,0.42290206176626033,0.775,0.42290206176626033,12997.625,3193.387636877016,3.3060230041987824,0.38916910066282606,23.0,11.771325437863934,0.0625765435222672,0.12476637031837774,0.7022561855273972,0.2484509194739568,0.23516727095033554,0.19366150749564837,0.011085301714874412,0.009390697403474351,0.0831986481331138,0.06609602547870677,0.014670161224705117,0.01713302900187264,0.18091737206243746,0.05229246003743002,0.5318789709523728,0.0915021615930995,0.10314412472244397,0.037318962021375676,0.050655467605357864,0.028036146479313708,0.020906496807616415,0.016195723311684777,0.003543456777078011,0.007282815495316048,2.05,0.9857965671450025,15.275,8.921272474490541,2.55,2.8907456229163877,39.95,15.617133917427736,119.625,42.99534113103836,23.0,11.771325437863934,10.25,5.834249012380389,4.8,3.936678282186125,0.375,0.7048367696104338
TEST_neg_0.5,40,TEST,neg,0.5,-0.5,0.5,0.0,-0.5,0.0,204.825,79.84596950475238,0.425,0.5006406152531231,0.575,0.5006406152531231,12494.85,3476.114700757228,3.368270280163803,0.4282813441491621,16.05,9.711082751430357,0.07863804299149127,0.18439508078337988,0.7441246467690892,0.2824270529190423,0.17723731023941955,0.22162982045254798,0.01359567706426453,0.011187823149753674,0.10300607247188953,0.0780136757265708,0.010641601422899247,0.02407430524127691,0.16569205915355298,0.06119121329402903,0.5226370326394226,0.10696202655419075,0.07572261902812634,0.031218425879427435,0.05836499595703486,0.022994149868363595,0.04452329423650319,0.034401987156935515,0.005816648026306653,0.011084571290505295,2.25,1.1491356841177722,19.35,15.066604265811328,1.6,2.7250029404830056,33.975,16.990928952434196,110.575,56.88850431393783,16.05,9.711082751430357,11.05,4.950783413789822,9.35,7.526193576011032,0.625,0.8378084965689216
TEST_neg_1.0,40,TEST,neg,1.0,-1.0,1.0,0.0,-1.0,0.0,197.7,72.63862079341287,0.325,0.4743416490252569,0.675,0.47434164902525683,12904.3,4165.48409597806,3.596042481821601,0.24453290297603153,22.625,15.065136352961872,0.15779265873015874,0.25409189788966363,0.6411549654795623,0.2600021141215361,0.201052375790279,0.1489670562409181,0.015012714611873234,0.010332273301045155,0.07834685359620988,0.06252713012003291,0.013829507886781256,0.022285465328294302,0.216164532088693,0.08530935861484965,0.45374760689858695,0.09261079622367874,0.10666846102751575,0.053193155407523056,0.07147541974134423,0.03347032766553123,0.03495386038675734,0.023598450212098044,0.009801043762238424,0.018828875459836657,2.625,1.8353718270665875,13.85,9.31376153045341,2.525,3.7002252183707234,42.875,21.043529366651597,91.475,42.43365107541117,22.625,15.065136352961872,13.425,8.255184850933196,7.3,6.385881863884359,1.0,1.9741924671712983
TEST_pos_0.5,40,TEST,pos,0.5,0.5,0.5,0.0,0.5,0.0,214.95,90.66759520640669,0.4,0.4961389383568338,0.6,0.4961389383568338,12120.775,3580.3835956035027,3.1806243222441166,0.42906148564806407,20.75,14.691267247359342,0.08091016879987717,0.16284067357571885,0.6582452177924883,0.23183710002501662,0.2608446134076344,0.20918221233197262,0.013889078287798253,0.011442379518884502,0.11033732141646857,0.11310028580996406,0.023385257791587354,0.051034964964128,0.14536858511496129,0.058252346727062206,0.5344517826936268,0.130061275413444,0.08700542519050827,0.03721761558426007,0.044744584918806986,0.033152516416017554,0.03316458348079244,0.021728176193994125,0.0076533811054501095,0.01206341111997147,2.225,1.0497252387758793,18.775,15.223947902682463,2.825,3.928120187205097,31.425,18.004112778003723,121.675,64.67210689513996,20.75,14.691267247359342,9.225,8.621640928946896,7.2,5.473479182291129,0.85,1.3116832012772064
TEST_pos_1.0,40,TEST,pos,1.0,1.0,1.0,0.0,1.0,0.0,257.075,86.8019813965037,0.25,0.4385290096535146,0.8,0.4050957468334667,12738.45,3215.307051174636,2.9320431862437584,0.35167182992148815,25.7,12.812654001576043,0.06050151691780169,0.11137037561461358,0.70698591751065,0.2220618699813642,0.2325125655715483,0.21085224138252473,0.010881705459687196,0.010100160434163436,0.0833296107485799,0.09671674253148049,0.009978765554999883,0.019365336423572684,0.15200605510279763,0.04454096888692268,0.5914040781154746,0.10934766160082438,0.09511188444657012,0.03335932982416297,0.026812220866084147,0.015129636758448348,0.026496105981757494,0.01974446385636103,0.003979573724049041,0.008561377203020762,2.175,0.8439072740411041,16.85,13.676762999841964,1.675,2.3136994463856206,39.55,17.577593546097113,157.225,63.35957115077608,25.7,12.812654001576043,6.3,3.903975619932281,7.1,5.569145770707085,0.5,1.1094003924504583
