condition,category,direction,alpha,label,on_target,n_pairs,mean_baseline,mean_steered,shift,cohen_d,wilcoxon_stat,p_raw,p_bonf,significant_005
TEST_neg_0.5,TEST,neg,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.01064160142289922,-0.01005971941587038,-0.24127710334928237,217.0,0.1084594752985515,,False
TEST_neg_0.5,TEST,neg,0.5,HYPO,False,40,0.1394172935506663,0.16569205915355295,0.026274765602886708,0.31876306724244413,307.0,0.17008811905543553,,False
TEST_neg_0.5,TEST,neg,0.5,TEST,True,40,0.5393414186480165,0.5226370326394226,-0.016704386008593957,-0.10158945119762366,338.0,0.34032321635640983,1.0,False
TEST_neg_0.5,TEST,neg,0.5,JUDGE,False,40,0.09112046046668851,0.0757226190281263,-0.01539784143856222,-0.29186820879684905,279.0,0.07932943338346377,,False
TEST_neg_0.5,TEST,neg,0.5,PLAN,False,40,0.04151262582401535,0.058364995957034815,0.01685237013301947,0.5233568166894241,182.0,0.0016823487039800966,,False
TEST_neg_0.5,TEST,neg,0.5,MONITOR,False,40,0.02194271932550454,0.044523294236503155,0.022580574910998612,0.5806721856881389,143.0,0.0005670909974086868,,False
TEST_neg_0.5,TEST,neg,0.5,RULE,False,40,0.007240970001723958,0.005816648026306633,-0.001424321975417325,-0.10274645625349517,189.5,0.2516191774545261,,False
TEST_neg_1.0,TEST,neg,1.0,ORIENT,False,40,0.01855043425641561,0.015012714611873187,-0.00353771964454242,-0.18119161815901516,331.0,0.2948169606661395,,False
TEST_neg_1.0,TEST,neg,1.0,DESCRIBE,False,40,0.12017275708819927,0.07834685359620984,-0.04182590349198945,-0.257596107227812,305.0,0.1617874718067469,,False
TEST_neg_1.0,TEST,neg,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.013829507886781228,-0.006871812951988373,-0.21342085234662025,220.0,0.2796954840975078,,False
TEST_neg_1.0,TEST,neg,1.0,HYPO,False,40,0.1394172935506663,0.21616453208869296,0.0767472385380267,0.7076166123673953,129.0,7.198017374321353e-05,,False
TEST_neg_1.0,TEST,neg,1.0,TEST,True,40,0.5393414186480165,0.45374760689858695,-0.08559381174942972,-0.5400731012231983,175.0,0.0011671793090499705,0.02334358618099941,True
TEST_neg_1.0,TEST,neg,1.0,JUDGE,False,40,0.09112046046668851,0.1066684610275157,0.01554800056082718,0.23050901381017147,313.0,0.19685455255421402,,False
TEST_neg_1.0,TEST,neg,1.0,PLAN,False,40,0.04151262582401535,0.07147541974134419,0.029962793917328846,0.7708571393976592,115.0,2.639073136379011e-05,,False
TEST_neg_1.0,TEST,neg,1.0,MONITOR,False,40,0.02194271932550454,0.0349538603867573,0.013011141061252762,0.4370961860671548,223.0,0.011074391617512447,,False
TEST_neg_1.0,TEST,neg,1.0,RULE,False,40,0.007240970001723958,0.009801043762238412,0.0025600737605144543,0.12383894425986328,187.0,0.7156020623007808,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,ORIENT,False,40,0.01855043425641561,0.009721958003683268,-0.00882847625273234,-0.4420179993600713,150.0,0.00028057557574356906,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,DESCRIBE,False,40,0.12017275708819927,0.10447950292386024,-0.015693254164339032,-0.08483117107988154,398.0,0.8785070700851065,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.013101078751250753,-0.0076002420875188464,-0.18981985358236678,217.0,0.543523855518597,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,HYPO,False,40,0.1394172935506663,0.15278783960575498,0.013370546055088727,0.19287511263553966,311.0,0.18761708125202858,,False
