category,condition,signed_alpha,target_prop,seed
HYPO,HYPO_neg_1.0,-1.0,0.13125,2805
HYPO,HYPO_neg_1.0,-1.0,0.2237762237762237,2806
HYPO,HYPO_neg_1.0,-1.0,0.2052117263843648,2807
HYPO,HYPO_neg_1.0,-1.0,0.1785714285714285,2808
HYPO,HYPO_neg_1.0,-1.0,0.1745454545454545,2809
HYPO,HYPO_neg_1.0,-1.0,0.1744548286604361,2810
HYPO,HYPO_neg_1.0,-1.0,0.1516587677725118,3801
HYPO,HYPO_neg_1.0,-1.0,0.1706484641638225,3802
HYPO,HYPO_neg_1.0,-1.0,0.1732283464566929,3803
HYPO,HYPO_neg_1.0,-1.0,0.1705685618729097,3804
HYPO,HYPO_neg_1.0,-1.0,0.2121212121212121,3805
HYPO,HYPO_neg_1.0,-1.0,0.2137931034482758,3806
HYPO,HYPO_neg_1.0,-1.0,0.2622377622377622,3807
HYPO,HYPO_neg_1.0,-1.0,0.1970802919708029,3808
HYPO,HYPO_neg_1.0,-1.0,0.075187969924812,3809
HYPO,HYPO_neg_1.0,-1.0,0.1418918918918918,3810
HYPO,HYPO_neg_1.0,-1.0,0.1596858638743455,4801
HYPO,HYPO_neg_1.0,-1.0,0.0666666666666666,4802
HYPO,HYPO_neg_1.0,-1.0,0.2018348623853211,4803
HYPO,HYPO_neg_1.0,-1.0,0.027027027027027,4804
HYPO,HYPO_neg_1.0,-1.0,0.1176470588235294,4805
HYPO,HYPO_neg_1.0,-1.0,0.228310502283105,4806
HYPO,HYPO_neg_1.0,-1.0,0.1596638655462184,4807
HYPO,HYPO_neg_1.0,-1.0,0.1401515151515151,4808
HYPO,HYPO_neg_1.0,-1.0,0.1234567901234567,4809
HYPO,HYPO_neg_1.0,-1.0,0.1594202898550724,4810
TEST,baseline,0.0,0.6174242424242424,1801
TEST,baseline,0.0,0.1492537313432835,1802
TEST,baseline,0.0,0.6037735849056604,1803
TEST,baseline,0.0,0.5,1804
TEST,baseline,0.0,0.6560509554140127,1805
TEST,baseline,0.0,0.5768025078369906,1806
TEST,baseline,0.0,0.2083333333333333,1807
TEST,baseline,0.0,0.5949367088607594,1808
TEST,baseline,0.0,0.5319148936170213,1809
TEST,baseline,0.0,0.41,1810
TEST,baseline,0.0,0.677710843373494,2801
TEST,baseline,0.0,0.5161290322580645,2802
TEST,baseline,0.0,0.4897959183673469,2803
TEST,baseline,0.0,0.5037593984962406,2804
TEST,baseline,0.0,0.3364485981308411,2805
TEST,baseline,0.0,0.5222222222222223,2806
TEST,baseline,0.0,0.6203208556149733,2807
TEST,baseline,0.0,0.4871794871794871,2808
TEST,baseline,0.0,0.6666666666666666,2809
TEST,baseline,0.0,0.5505050505050505,2810
TEST,baseline,0.0,0.5394190871369294,3801
TEST,baseline,0.0,0.5807692307692308,3802
TEST,baseline,0.0,0.6297709923664122,3803
TEST,baseline,0.0,0.5928853754940712,3804
TEST,baseline,0.0,0.6666666666666666,3805
TEST,baseline,0.0,0.6890756302521008,3806
TEST,baseline,0.0,0.6190476190476191,3807
TEST,baseline,0.0,0.5579710144927537,3808
TEST,baseline,0.0,0.6274509803921569,3809
TEST,baseline,0.0,0.5242290748898678,3810
TEST,baseline,0.0,0.5865384615384616,4801
TEST,baseline,0.0,0.4444444444444444,4802
TEST,baseline,0.0,0.1111111111111111,4803
TEST,baseline,0.0,0.5691056910569106,4804
TEST,baseline,0.0,0.7365079365079366,4805
TEST,baseline,0.0,0.7518518518518519,4806
TEST,baseline,0.0,0.5223880597014925,4807
TEST,baseline,0.0,0.518840579710145,4808
TEST,baseline,0.0,0.4581497797356828,4809
TEST,baseline,0.0,0.6282051282051282,4810
TEST,TEST_pos_0.5,0.5,0.6933962264150944,1801
TEST,TEST_pos_0.5,0.5,0.55078125,1802
TEST,TEST_pos_0.5,0.5,0.664756446991404,1803
TEST,TEST_pos_0.5,0.5,0.6057692307692307,1804
TEST,TEST_pos_0.5,0.5,0.5973154362416108,1805
TEST,TEST_pos_0.5,0.5,0.2916666666666667,1806
TEST,TEST_pos_0.5,0.5,0.593103448275862,1807
TEST,TEST_pos_0.5,0.5,0.6428571428571429,1808
TEST,TEST_pos_0.5,0.5,0.4736842105263157,1809
TEST,TEST_pos_0.5,0.5,0.6085106382978723,1810
TEST,TEST_pos_0.5,0.5,0.4199134199134199,2801
TEST,TEST_pos_0.5,0.5,0.5945945945945946,2802
TEST,TEST_pos_0.5,0.5,0.660377358490566,2803
TEST,TEST_pos_0.5,0.5,0.5051546391752577,2804
TEST,TEST_pos_0.5,0.5,0.65,2805
TEST,TEST_pos_0.5,0.5,0.6425855513307985,2806
TEST,TEST_pos_0.5,0.5,0.3673469387755102,2807
TEST,TEST_pos_0.5,0.5,0.5975609756097561,2808
TEST,TEST_pos_0.5,0.5,0.7795527156549521,2809
