,trace_key,task_id,set,completed,n_nodes,n_edges,density,n_weakly_connected,longest_path,mean_in_degree,max_in_degree,max_out_degree
188,set_b/task1/trace_029,1,B,True,116,210,0.015742,5,37,1.81,4,17
189,set_b/task1/trace_030,1,B,False,384,762,0.005181,24,201,1.984,5,19
190,set_b/task1/trace_031,1,B,True,427,1205,0.006624,3,279,2.822,5,23
191,set_b/task1/trace_032,1,B,True,237,516,0.009225,2,67,2.177,5,22
192,set_b/task1/trace_033,1,B,True,199,409,0.01038,1,92,2.055,4,14
193,set_b/task1/trace_034,1,B,True,52,119,0.044872,1,29,2.288,5,5
194,set_b/task1/trace_035,1,B,False,400,998,0.006253,1,291,2.495,5,19
195,set_b/task1/trace_036,1,B,True,339,800,0.006982,2,174,2.36,5,20
196,set_b/task1/trace_037,1,B,True,45,78,0.039394,1,26,1.733,5,5
197,set_b/task1/trace_038,1,B,True,266,542,0.007689,7,131,2.038,4,18
198,set_b/task1/trace_039,1,B,True,54,83,0.029001,2,17,1.537,5,8
199,set_b/task1/trace_040,1,B,True,167,301,0.010858,2,74,1.802,4,9
200,set_b/task2/trace_001,2,B,False,203,506,0.01234,1,131,2.493,5,15
201,set_b/task2/trace_002,2,B,True,193,357,0.009634,3,91,1.85,5,16
202,set_b/task2/trace_003,2,B,False,275,566,0.007512,2,99,2.058,4,14
203,set_b/task2/trace_004,2,B,False,301,695,0.007697,3,135,2.309,5,14
204,set_b/task2/trace_005,2,B,True,56,132,0.042857,2,40,2.357,5,6
205,set_b/task2/trace_006,2,B,True,57,92,0.028822,1,25,1.614,5,6
206,set_b/task2/trace_007,2,B,False,224,524,0.01049,4,142,2.339,5,17
207,set_b/task2/trace_008,2,B,False,265,703,0.010049,2,175,2.653,5,21
208,set_b/task2/trace_009,2,B,True,142,270,0.013485,1,105,1.901,5,18
209,set_b/task2/trace_010,2,B,True,73,135,0.025685,1,38,1.849,4,20
210,set_b/task2/trace_011,2,B,True,63,117,0.029954,1,27,1.857,5,10
211,set_b/task2/trace_012,2,B,False,424,785,0.004377,3,221,1.851,4,18
212,set_b/task2/trace_013,2,B,False,444,914,0.004647,1,309,2.059,5,18
213,set_b/task2/trace_014,2,B,True,119,205,0.014599,2,38,1.723,4,17
214,set_b/task2/trace_015,2,B,False,382,826,0.005675,1,241,2.162,5,12
215,set_b/task2/trace_016,2,B,False,495,1274,0.00521,9,250,2.574,5,19
216,set_b/task2/trace_017,2,B,True,31,60,0.064516,1,20,1.935,5,4
217,set_b/task2/trace_018,2,B,True,247,568,0.009348,1,145,2.3,5,13
218,set_b/task2/trace_019,2,B,True,297,747,0.008497,6,171,2.515,5,17
219,set_b/task2/trace_020,2,B,False,534,1395,0.004901,1,405,2.612,4,16
220,set_b/task2/trace_021,2,B,False,431,819,0.004419,2,315,1.9,5,12
